,epoch,iteration,mode,loss
0,0,1.0,train,2.8903546
1,0,2.0,train,2.3955414
2,0,3.0,train,6.192424
3,0,4.0,train,1.9692695
4,0,5.0,train,2.1797247
5,0,6.0,train,2.2888947
6,0,7.0,train,2.2283244
7,0,8.0,train,2.067807
8,0,9.0,train,1.9982778
9,0,10.0,train,1.9689112
10,0,11.0,train,1.9399474
11,0,12.0,train,1.9732512
12,0,13.0,train,1.9123615
13,0,14.0,train,1.879034
14,0,15.0,train,1.6668086
15,0,16.0,train,1.696829
16,0,17.0,train,2.2788498
17,0,18.0,train,1.8010163
18,0,19.0,train,1.8153684
19,0,20.0,train,1.773797
20,0,21.0,train,1.9776317
21,0,22.0,train,1.5622002
22,0,23.0,train,1.8924066
23,0,24.0,train,2.0610178
24,0,25.0,train,1.7852558
25,0,26.0,train,1.8826345
26,0,27.0,train,1.6499635
27,0,28.0,train,1.531673
28,0,29.0,train,1.6652428
29,0,30.0,train,1.9739732
30,0,31.0,train,1.5534766
31,0,32.0,train,1.4543651
32,0,33.0,train,1.957688
33,0,34.0,train,1.8495108
34,0,35.0,train,1.8379037
35,0,36.0,train,1.710359
36,0,37.0,train,1.7641572
37,0,38.0,train,1.9047487
38,0,39.0,train,1.748647
39,0,40.0,train,1.6530627
40,0,41.0,train,1.7695984
41,0,42.0,train,1.8574903
42,0,43.0,train,1.5724783
43,0,44.0,train,1.4610329
44,0,45.0,train,1.7258571
45,0,46.0,train,1.923522
46,0,47.0,train,1.7699604
47,0,48.0,train,1.6289228
48,0,49.0,train,1.6412436
49,0,50.0,train,1.7028763
50,0,51.0,train,1.5209734
51,0,52.0,train,1.4616064
52,0,53.0,train,1.5056179
53,0,54.0,train,1.6156213
54,0,55.0,train,1.6369137
55,0,56.0,train,1.3273636
56,0,57.0,train,1.6357558
57,0,58.0,train,2.0763006
58,0,59.0,train,1.987243
59,0,60.0,train,1.4884081
60,0,61.0,train,1.7765555
61,0,62.0,train,1.3729817
62,0,63.0,train,1.8327333
